ID,Name,Latitude,Longitude
atha1247,Athabaskan,60.4712,-150.759
auks1239,Aukshtaitish,55.14290,23.9601
cant1236,Cantonese,23.01180,113.2021
cent2346,Central Tibetan,28.3681,90.18720
coas1300,Coast Tsimshian,52.59103,-128.5445
east2280,Eastern Baltic,56.82611,24.30912
extr1245,Extreme Southern New Caledonian,-22.0947,166.531
kere1287,Keresan,35.52160,-106.4530
mang1393,Mangbetu-Asua,0.26796,27.3420
metn1237,Metnyo,-0.17957,130.9170
midd1319,Middle Franconian,49.6839,6.14931
moha1257,Mohawk-Oneida,43.72,-74.66836
newc1243,New Caledonian,-20.8892,167.229
nort3160,North Germanic,59.80063,17.38953
podo1243,Podoko,10.9284,14.0474
pwoo1239,Pwo,18.0048,99.6382
raja1258,Raja Ampat Maya,-0.17313,130.3270
sind1278,Sindhi-Lahnda,30.0948,75.3474
slav1255,Slavic,49.8734,15.10437
taik1256,Tai-Kadai,24.1169,110.106
tere1281,Terena,-20.66140,-56.0329
utsa1239,Lhasa Tibetan,28.3681,90.18720
yeni1252,Yeniseian,63.75510,87.5466
zhuo1234,Zhuoni,27.75520,99.8255