ID,Name,Macroarea
atha1247,Athabaskan,North America
cent2346,Central Tibetan,Eurasia
east2280,Eastern Baltic,Eurasia
extr1245,Extreme Southern New Caledonian,Papunesia
kere1287,Keresan,North America
mang1393,Mangbetu-Asua,Africa
moha1257,Mohawk-Oneida,North America
newc1243,New Caledonian,Papunesia
nort3160,North Germanic,Eurasia
podo1243,Podoko,Africa
pwoo1239,Pwo,Eurasia
raja1258,Raja Ampat Maya,Papunesia
sind1278,Sindhi-Lahnda,Eurasia
slav1255,Slavic,Eurasia
taik1256,Tai-Kadai,Eurasia
yeni1252,Yeniseian,Eurasia